id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
new_51,Women,Apparel,Topwear,Kurta Sets,Maroon,All,2026,Ethnic,SIAH Women Maroon & Grey Solid Kurta with Trousers & Dupatta
new_52,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Soch Women Black & Gold Printed Straight Kurta
new_53,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Vishudh Women Grey & Gold-Toned Printed Kurta with Palazzos
new_54,Women,Apparel,Topwear,Kurta Sets,Maroon,All,2026,Ethnic,Libas Women Maroon Solid A-Line Kurta with Printed Longline Ethnic Jacket
new_55,Women,Apparel,Topwear,Kurtas,Maroon,All,2026,Ethnic,Varanga Women Maroon & Golden Printed A-Line Kurta
new_56,Women,Apparel,Topwear,Kurtas,Silver,All,2026,Ethnic,Vishudh Women Blue & Silver-Toned Printed Straight Kurta
new_57,Women,Apparel,Topwear,Kurtas,White,All,2026,Ethnic,Yuris Women Red & White Bandhani Printed Straight Kurta
new_58,Women,Apparel,Topwear,Kurtas,Red,All,2026,Ethnic,Colour Me by Melange Women Red Printed Straight Kurta
new_59,Women,Apparel,Topwear,Kurtas,Red,All,2026,Ethnic,Melange by Lifestyle Women Peach-Coloured & Red Printed A-Line Kurta
new_60,Unisex,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Moda Rapido Green Printed Kurta
new_61,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Jompers Women Blue & Black Printed Handloom Straight Kurta
new_62,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Janasya Women Green & Pink Printed A-Line Kurta
new_63,Women,Apparel,Topwear,Kurtas,Orange,All,2026,Ethnic,Fabindia Women Orange Mukaish-Work Straight Kurta
new_64,Women,Apparel,Topwear,Kurtas,Maroon,All,2026,Ethnic,Libas Women Maroon Solid A-Line Kurta
new_65,Women,Apparel,Topwear,Kurtas,Maroon,All,2026,Ethnic,AHIKA Women Green & Maroon Crepe Printed Straight Kurta
new_66,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Myshka Women Pink Yoke Design A-Line Kurta
new_67,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Libas Women Black & Grey Striped Straight Kurta
new_68,Women,Apparel,Topwear,Kurtas,Lime Green,All,2026,Ethnic,W Women Lime Green Solid Straight Kurta
new_69,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Melange by Lifestyle Women Coral Pink Embroidered A-Line Kurta
new_70,Women,Apparel,Topwear,Kurta Sets,White,All,2026,Ethnic,Sringam Women Blue & White Printed Kurta with Trousers
new_71,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Rasada Women Pink & Cream-Coloured Printed Straight Kurta
new_72,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Vishudh Women Navy Blue Printed A-Line Kurta
new_73,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Fabindia Women Grey & Black Slim Fit Checked A-Line Kurta
new_74,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Libas Women Green Yoke Design Straight Kurta
new_75,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Soch Women Navy Blue Solid A-Line Kurta
new_76,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Pannkh Women Green & White Printed Straight Kurta
new_77,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Soch Women Green Yoke Design Straight Kurta
new_78,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,AHIKA Women Black & Off-White Printed Straight Kurta
new_79,Women,Apparel,Topwear,Kurtas,Grey,All,2026,Ethnic,GERUA Women Grey Solid Straight Kurta
new_80,Women,Apparel,Topwear,Kurtas,Red,All,2026,Ethnic,Napra Women Magenta Embroidered Straight Kurta
new_81,Women,Apparel,Topwear,Kurta Sets,Navy Blue,All,2026,Ethnic,Ritu Kumar Women Navy Blue & Brown Printed Kurta with Sharara & Dupatta
new_82,Women,Apparel,Topwear,Kurta Sets,Navy Blue,All,2026,Ethnic,Anubhutee Women Navy Blue & Off-White Yoke Design Kurta with Palazzos
new_83,Women,Apparel,Topwear,Kurtas,Sea Green,All,2026,Ethnic,anayna Women Sea Green & Pink Printed Straight Kurta
new_84,Women,Apparel,Topwear,Kurta Sets,Navy Blue,All,2026,Ethnic,Anouk Women Navy Blue Solid Kurta with Trousers & Dupatta
new_85,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Vaamsi Women Black & White Printed Straight Kurta
new_86,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,W Women Navy Blue & White Striped Straight Kurta
new_87,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Vaamsi Women Pink & White Printed Straight Kurta
new_88,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,AHIKA Women Navy Blue & Pink Printed Straight Kurta
new_89,Women,Apparel,Topwear,Kurtas,Red,All,2026,Ethnic,Kiaasa Women Red Checked A-Line Kurta
new_90,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Nayo Women Black & White Printed Straight Kurta
new_91,Women,Apparel,Topwear,Kurtas,Mustard,All,2026,Ethnic,Libas Women Mustard Yellow & Blue Printed A-Line Kurta
new_92,Women,Apparel,Topwear,Kurtas,Unknown,All,2026,Ethnic,Napra Women Magenta Yoke Design Straight Kurta
new_93,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,AHIKA Women Navy Blue & Off-White Printed Straight Kurta
new_94,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,W Women Navy Blue Striped A-Line Kurta
new_95,Women,Apparel,Topwear,Kurtas,White,All,2026,Ethnic,KSUT Women Charcoal Grey & White Striped Handloom Straight Kurta
new_96,Women,Apparel,Topwear,Kurta Sets,Mustard,All,2026,Ethnic,Sangria Women Maroon & Mustard Yellow Printed Kurta with Trousers & Dupatta
new_97,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Anubhutee Women Navy Blue Yoke Design Straight Kurta
new_98,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,ZIYAA Women Black & Green Foil Printed Straight Kurta
new_99,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Anouk Women Red & Green Printed A-Line Kurta
new_100,Women,Apparel,Topwear,Kurtas,Yellow,All,2026,Ethnic,Melange by Lifestyle Women Yellow & Green Printed A-Line Kurta
new_101,Women,Apparel,Topwear,Kurta Sets,Beige,All,2026,Ethnic,ZIYAA Women Beige & Charcoal Grey Solid Kurta with Palazzos
new_102,Women,Apparel,Topwear,Kurta Sets,Beige,All,2026,Ethnic,Moda Rapido Women Beige Embroidered Kurta with Trousers & Dupatta
new_103,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Vishudh Women Coral & Gold-Toned Printed Kurti with Palazzos
new_104,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Ishin Women Green & Golden Printed A-Line Kurta
new_105,Women,Apparel,Topwear,Kurtas,Olive Green,All,2026,Ethnic,AKS Women Olive Green & Mustard Yellow Printed Straight Kurta
new_106,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Vishudh Women Navy Blue & Gold-Toned Yoke Design Anarkali Kurta
new_107,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Florence Women Green Solid A-Line Kurta
new_108,Women,Apparel,Topwear,Kurta Sets,White,All,2026,Ethnic,aasi Women White Printed Kurta with Palazzos
new_109,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Melange by Lifestyle Women Coral & Black Printed A-Line Kurta
new_110,Women,Apparel,Topwear,Kurtas,Sea Green,All,2026,Ethnic,Melange by Lifestyle Women Sea Green Embroidered A-Line Kurta
new_111,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Libas Women Navy Blue & Beige Printed Straight Kurta
new_112,Women,Apparel,Topwear,Kurta Sets,Cream,All,2026,Ethnic,ZIYAA Women Cream-Coloured Solid Kurta with Trousers
new_113,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,HERE&NOW Women Teal & Green Printed A-Line Kurta
new_114,Women,Apparel,Topwear,Kurtas,Gold,All,2026,Ethnic,Vishudh Women Burgundy & Gold-Toned Woven Design Anarkali Kurta
new_115,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Libas Women Red & Golden Block Print Kurta with Palazzos & Dupatta
new_116,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,W Women Black & Off-White Woven Design Straight Kurta
new_117,Women,Apparel,Topwear,Kurta Sets,Pink,All,2026,Ethnic,Nayo Women Pink & Cream-Coloured Printed Kurta with Palazzos & Dupatta
new_118,Women,Apparel,Topwear,Kurtas,Blue,All,2026,Ethnic,Vishudh Women Blue Printed Anarkali Kurta
new_119,Women,Apparel,Topwear,Kurta Sets,Orange,All,2026,Ethnic,Rain & Rainbow Women Orange Yoke Design Kurta with Churidar & Dupatta
new_120,Women,Apparel,Topwear,Kurta Sets,Navy Blue,All,2026,Ethnic,Nayo Women Navy Blue & Maroon Printed Kurta with Skirt
new_121,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Vishudh Women Navy Blue Yoke Design Straight Kurta
new_122,Women,Apparel,Topwear,Kurtas,Orange,All,2026,Ethnic,Fabindia Women Pink & Orange Slim Fit Striped A-Line Kurta
new_123,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Indo Era Women Black Yoke Design Straight Kurta
new_124,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,AKS Women Pink & White Khari Print Anarkali Kurta
new_125,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Ives Women Red & Black Anarkali Kurta
new_126,Women,Apparel,Topwear,Kurta Sets,Maroon,All,2026,Ethnic,Indo Era Women Maroon & Beige Printed Anghrakha Kurta with Palazzos & Dupatta
new_127,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Melange by Lifestyle Women Grey & Pink Printed A-Line Kurta
new_128,Women,Apparel,Topwear,Kurtas,Mustard,All,2026,Ethnic,Libas Women Mustard Yellow Solid Straight Kurta
new_129,Women,Apparel,Topwear,Kurta Sets,Maroon,All,2026,Ethnic,RANGMAYEE Women Black & Maroon Solid A-Line Kurta with Printed Layer
new_130,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Vishudh Women Green & Gold-Toned Solid Kurta with Skirt
new_131,Women,Apparel,Topwear,Kurta Sets,Black,All,2026,Ethnic,Anouk Women Grey & Black Striped Kurta with Palazzos
new_132,Women,Apparel,Topwear,Kurtas,White,All,2026,Ethnic,Soch Women Grey & White Printed A-Line Kurta
new_133,Women,Apparel,Topwear,Kurta Sets,Pink,All,2026,Ethnic,ZIYAA Women Pink Colourblocked Kurta with Palazzos
new_134,Women,Apparel,Topwear,Kurta Sets,Mustard,All,2026,Ethnic,Nayo Women Burgundy & Mustard Yellow Printed Kurta with Palazzos
new_135,Women,Apparel,Topwear,Kurta Sets,Black,All,2026,Ethnic,Anouk Women Black Printed High-Slit A-line Kurta with Straight Pants
new_136,Women,Apparel,Topwear,Kurtas,Red,All,2026,Ethnic,Vishudh Women Peach-Coloured Solid Straight Kurta
new_137,Women,Apparel,Topwear,Kurtas,Gold,All,2026,Ethnic,Soch Women Red & Gold Printed Straight Kurta
new_138,Women,Apparel,Topwear,Kurtas,Yellow,All,2026,Ethnic,AKS Women Green & Yellow Floral Print Anarkali Kurta
new_139,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Varanga Women Pink & White Striped A-Line Kurta
new_140,Women,Apparel,Topwear,Kurta Sets,Black,All,2026,Ethnic,SIAH Women Black Solid Kurta with Trousers & Dupatta
new_141,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Vishudh Women Navy Blue & Red Printed A-Line Kurta
new_142,Women,Apparel,Topwear,Kurta Sets,Pink,All,2026,Ethnic,Anouk Women Pink Printed Kurta with Palazzos
new_143,Women,Apparel,Topwear,Kurta Sets,Beige,All,2026,Ethnic,Anouk Women Brown & Beige Solid Kurta with Trousers & Embroidered Detailing
new_144,Women,Apparel,Topwear,Kurtas,White,All,2026,Ethnic,Popnetic Women White & Golden Foil Printed Straight Kurta
new_145,Women,Apparel,Topwear,Kurtas,Mustard,All,2026,Ethnic,AKS Women Mustard Yellow Printed A-Line Kurta
new_146,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,HERE&NOW Women Brown & Off-White Printed A-Line Kurta
new_147,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Vishudh Women Navy Blue & Red Printed A-Line Kurta
new_148,Women,Apparel,Topwear,Kurta Sets,Maroon,All,2026,Ethnic,Shakumbhari Women Maroon Embroidered Kurti with Trousers
new_149,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Vaamsi Women Navy Blue & White Printed Straight Kurta
new_150,Women,Apparel,Topwear,Kurtas,Purple,All,2026,Ethnic,Vishudh Women Purple & Silver-Toned Printed Straight Kurta
new_151,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Tissu Women Pink Printed Anarkali Kurta
new_152,Women,Apparel,Topwear,Kurta Sets,Navy Blue,All,2026,Ethnic,Libas Women Navy Blue & Mustard Brown Printed Kurta with Palazzos
new_153,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Vishudh Women Black Printed A-Line Kurta
new_154,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Rain & Rainbow Women Teal Green Printed A-Line Kurta
new_155,Women,Apparel,Topwear,Kurtas,Maroon,All,2026,Ethnic,Napra Women Maroon Printed Straight Kurta
new_156,Women,Apparel,Topwear,Kurtas,Sea Green,All,2026,Ethnic,HERE&NOW Women Sea Green & White Printed Straight Kurta
new_157,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Myshka Women Pink Solid Straight Kurta
new_158,Women,Apparel,Topwear,Kurtas,Beige,All,2026,Ethnic,AHIKA Women Blue & Beige Printed Straight Kurta
new_159,Women,Apparel,Topwear,Kurtas,Grey,All,2026,Ethnic,Vishudh Women Grey & Blue Solid A-Line Kurta
new_160,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Jompers Women Beige & Green Printed A-Line Kurta
new_161,Women,Apparel,Topwear,Kurta Sets,Burgundy,All,2026,Ethnic,Bitterlime Women Burgundy & Peach-Coloured Block Printed Kurta with Trousers
new_162,Women,Apparel,Topwear,Kurtas,White,All,2026,Ethnic,Nayo Women Grey & White Printed Straight Kurta
new_163,Women,Apparel,Topwear,Kurtas,Maroon,All,2026,Ethnic,KSUT Women Maroon & Grey Printed Straight Ikat Kurta
new_164,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Vishudh Women Green Printed Straight Kurta
new_165,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Tissu Women Green & Pink Printed A-Line Kurta
new_166,Women,Apparel,Topwear,Kurtas,Orange,All,2026,Ethnic,Fabindia Women Orange & Golden Hand Block Print Layered A-Line Kurta
new_167,Women,Apparel,Topwear,Kurta Sets,Sea Green,All,2026,Ethnic,Indo Era Women Green & Sea Green Embroidered Kurta with Trousers
new_168,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,AHIKA Women Black & Grey Printed Straight Kurta
new_169,Women,Apparel,Topwear,Kurtas,Beige,All,2026,Ethnic,Anouk Women Blue & Beige Printed A-Line Kurta
new_170,Women,Apparel,Topwear,Kurta Sets,Blue,All,2026,Ethnic,Janasya Women Teal Blue & Printed Kurta with Trousers & Dupatta
new_171,Women,Apparel,Topwear,Kurtas,Teal,All,2026,Ethnic,Vishudh Women Teal Solid Anarkali Kurta
new_172,Women,Apparel,Topwear,Kurtas,Grey,All,2026,Ethnic,HERE&NOW Women Grey Solid Straight Kurta
new_173,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Vishudh Women Navy Blue & Silver-Toned Printed Anarkali Kurta
new_174,Women,Apparel,Topwear,Kurtas,Mustard,All,2026,Ethnic,Sangria Women Mustard Yellow & Orange Printed Straight Kurta
new_175,Women,Apparel,Topwear,Kurtas,Orange,All,2026,Ethnic,Fabindia Women Rust Orange Handloom Solid Straight Kurta
new_176,Women,Apparel,Topwear,Kurtas,White,All,2026,Ethnic,Moda Rapido Women Blue & White Printed A-Line Kurta
new_177,Women,Apparel,Topwear,Kurta Sets,Mustard,All,2026,Ethnic,AASI - HOUSE OF NAYO Women Black & Mustard Yellow Solid Kurta with Trousers & Dupatta
new_178,Women,Apparel,Topwear,Kurta Sets,Cream,All,2026,Ethnic,ZIYAA Women Cream-Coloured Printed Kurta with Trousers
new_179,Women,Apparel,Topwear,Kurtas,Red,All,2026,Ethnic,Vishudh Women Red Solid Straight Kurta
new_180,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Popnetic Women Pink & White Block Printed Straight Kurta
new_181,Women,Apparel,Topwear,Kurta Sets,Black,All,2026,Ethnic,Azira Women Black Solid Straight Kurta with Jacket
new_182,Women,Apparel,Topwear,Kurtas,Gold,All,2026,Ethnic,Vishudh Women Mustard & Gold-Toned Solid Straight Kurta
new_183,Women,Apparel,Topwear,Kurtas,Coral,All,2026,Ethnic,Vishudh Women Coral Printed Straight Kurta
new_184,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,HERE&NOW Women Green Solid Straight Kurta
new_185,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,AHIKA Women Grey & Pink Printed Straight Kurta
new_186,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,House of Pataudi Women Black Solid A-Line Kurta
new_187,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Anouk Women Pink & Gold-Toned Self Design Kurta with Trousers
new_188,Women,Apparel,Topwear,Kurta Sets,Mustard,All,2026,Ethnic,Rain & Rainbow Women Teal Blue & Mustard Yellow Printed Kurta with Churidar & Dupatta
new_189,Women,Apparel,Topwear,Kurtas,Mauve,All,2026,Ethnic,Yufta Women Mauve Yoke Design Straight Kurta
new_190,Women,Apparel,Topwear,Kurtas,Sea Green,All,2026,Ethnic,HERE&NOW Women Sea Green & Red Printed A-Line Kurta
new_191,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Inddus Women Aubergine & Golden Woven Design Anarkali Kurta With Dupatta
new_192,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Libas Women Peach-Coloured & Golden Woven Design Kurta with Trousers
new_193,Women,Apparel,Topwear,Kurta Sets,Mustard,All,2026,Ethnic,SASSAFRAS Women Mustard Yellow & Green Printed Kurta with Trousers
new_194,Women,Apparel,Topwear,Kurtas,Blue,All,2026,Ethnic,Moda Rapido Women Blue Embroidered Detail Straight Kurta
new_195,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Libas Women Peach-Coloured & Golden Block Print Kurta with Palazzos & Dupatta
new_196,Women,Apparel,Topwear,Kurta Sets,Green,All,2026,Ethnic,Libas Women Green & Blue Striped Kurta with Palazzos
new_197,Women,Apparel,Topwear,Kurtas,Grey,All,2026,Ethnic,Colour Me by Melange Women Grey Embroidered A-Line Kurta
new_198,Women,Apparel,Topwear,Kurta Sets,Silver,All,2026,Ethnic,Varanga Women Mauve & Silver Yoke Design Kurta with Palazzos
new_199,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,HERE&NOW Women Navy Blue & White Printed Straight Kurta
new_200,Women,Apparel,Topwear,Kurtas,Blue,All,2026,Ethnic,Moda Rapido Women Blue Embroidered Straight Kurta
new_201,Women,Apparel,Topwear,Kurta Sets,Mustard,All,2026,Ethnic,Anouk Women Purple & Mustard Yellow Printed Kurta with Sharara & Dupatta
new_202,Women,Apparel,Topwear,Kurta Sets,Black,All,2026,Ethnic,Varanga Women Grey & Black Embroidered Kurti with Trousers & Dupatta
new_203,Women,Apparel,Topwear,Kurtas,Maroon,All,2026,Ethnic,The Kaftan Company Women Maroon Printed A-Line Kurta
new_204,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Rain & Rainbow Women Grey & Pink Printed Anarkali Kurta
new_205,Women,Apparel,Topwear,Kurta Sets,Pink,All,2026,Ethnic,ZIYAA Women Pink & Blue Printed Kurta with Trousers
new_206,Women,Apparel,Topwear,Kurta Sets,Gold,All,2026,Ethnic,Libas Women Red & Golden Block Print Kurta with Trousers
new_207,Women,Apparel,Topwear,Kurta Sets,Navy Blue,All,2026,Ethnic,Libas Women Navy Blue & Green Printed Kurta with Palazzos & Dupatta
new_208,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Varanga Women Green Checked Silk Straight Kurta
new_209,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,Anouk Women Blue & Pink Printed A-Line Kurta
